placename,latitude,longitude
Pepper Coast,6.4281,-9.4295
Port Harcourt,4.8156,7.0498
Port Louis,-20.1609,57.5012
Port au Prince,18.5944,-72.3074
Porto Novo,6.4969,2.6283
Portugal,39.3999,-8.2245
Praia,14.9315,-23.5125
Pretoria,-25.7461,28.1881
Rabat,34.0209,-6.8313
Race Course,6.4544,3.4019
Rainforest,6,7
Rhodesia,-19.0154,29.1549
Rio de Janeiro,-22.9068,-43.1729
River Niger,11,9
Rome,41.9028,12.4964
Rotterdam,51.9244,4.4777
Royal Niger Company,9,7
Sahara,25,12
Sahel,15,10
Saltpond,5.2092,-1.0603
San Pedro,4.75,-6.64
Sao Tome,0.3301,6.7332
Sapele,5.8949,5.6701
Savannah,10,8
Sekondi,4.9347,-1.7361
Senegal,14.4974,-14.4524
Senegambia,13.5,-15
Serrekunda,13.4386,-16.6775
Shagamu,6.85,3.65
Sierra Leone,8.4606,-11.7799
Sikasso,11.32,-5.6667
Singapore,1.3521,103.8198
Slave Coast,6.37,2.39
Sokode,8.9833,1.1333
Sokoto,13.0622,5.2339
Sokoto Caliphate,13.0622,5.2339
Songhai,16.7735,-3.0074
South Africa,-30.5595,22.9375
South America,-8.7832,-55.4915
Southern Nigeria,6.5,7
Southern Rhodesia,-19.0154,29.1549
Spain,40.4637,-3.7492
St Louis,16.0167,-16.5
Sudan,12.8628,30.2176
Surulere,6.5059,3.352
Sydney,-33.8688,151.2093
Tafawa Balewa Sq,6.4544,3.4019
Takoradi,4.9347,-1.7361
Tamale,9.4075,-0.8533
Tanzania,-6.369,34.8888
Tema,5.6698,-0.0167
Temne,8.8833,-12.05
Thies,14.7833,-16.9167
Timbuktu,16.7735,-3.0074
Tinubu Square,6.4544,3.3839
Tiv,7.35,9
Togo,8.6195,0.8248
Tokyo,35.6762,139.6503
Toronto,43.6532,-79.3832
Touba,14.85,-15.8833
Transvaal,-25.7461,28.2314
Tripoli,32.8872,13.1913
Tunis,36.8065,10.1815
Tunisia,33.8869,9.5375
Uganda,1.3733,32.2903
Umunede,6.276,6.303
United African Company,9,7
United Kingdom,55.3781,-3.436
United States,39.8283,-98.5795
Upper Guinea,10,-10
Uyo,5.05,7.9333
Victoria Island,6.4281,3.4219
Volta,6.3167,0.5
Volta River,6.3167,0.5
Wa,10.06,-2.5
Warri,5.5167,5.75
Washington,38.9072,-77.0369
West Africa,11,4
West Coast,6,2.5
West Coast of Africa,6,2.5
West Indies,19,-70
Western Sudan,12,8
Whydah,6.367,2.093
Windhoek,-22.5609,17.0658
Windward Coast,6.5,-11.5
Wolof,14.7167,-17.4677
World,0,0
Yaba,6.5163,3.3838
Yamoussoukro,6.8276,-5.2893
Yaounde,3.848,11.5021
Yola,9.2087,12.4819
Yoruba,7.5,4.5
Yorubaland,7.5,4.5
Zaire,-4.0383,21.7587
Zambia,-13.1339,27.8493
Zanzibar,-6.1659,39.2026
Zinder,13.8083,8.9881
Zungeru,9.8128,6.1545
